Stage,Utility,Root,Level,Title,Company_Name,Date,Submitter,Docket_No,Page_Type,PDF_Link,Page_URL,Breadcrumb
1,electric,Facilities > Electricity,1,"Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership","Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership",,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/712882,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership"
1,electric,Facilities > Electricity,2,2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership,2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/467778,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership"
1,electric,Facilities > Electricity,3,07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias,07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias,,,A15693,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/465445,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias"
1,electric,Facilities > Electricity,4,A0Z1S8 - ACI and ACCC transfer of ownership Permit EPE-75,A0Z1S8 - ACI and ACCC transfer of ownership Permit EPE-75,,,,PDF,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/465446,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/465446,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias > A0Z1S8 - ACI and ACCC transfer of ownership Permit EPE-75"
1,electric,Facilities > Electricity,4,,,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/465445,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias > "
1,electric,Facilities > Electricity,4,,,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/712769,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias > "
1,electric,Facilities > Electricity,5,2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership,2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/467776,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias >  > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership"
1,electric,Facilities > Electricity,6,07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693),07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693),,,A15693,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/465445,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias >  > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693)"
1,electric,Facilities > Electricity,6,,,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/712769,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias >  > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > "
1,electric,Facilities > Electricity,6,07-06-22 NEB - Abitibi-Consolidated Inc. - Permit EPE-75 (A15843),07-06-22 NEB - Abitibi-Consolidated Inc. - Permit EPE-75 (A15843),,,A15843,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/467427,"Facilities > Electricity > Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-05 NEB - Abitibi-Consolidated Inc. and Abitibi-Consolidated Company of Canada (A15693) Alias >  > 2006-07-25 Application to Transfer EC-25 and EPE-75 to reflect new ownership > 07-06-22 NEB - Abitibi-Consolidated Inc. - Permit EPE-75 (A15843)"
